iter	Passed	Remaining
399	29900	44850
400	29972	44771
401	30026	44666
402	30085	44568
403	30133	44454
404	30184	44344
405	30243	44247
406	30294	44138
407	30350	44037
408	30406	43937
409	30458	43830
410	30512	43726
411	30565	43622
412	30619	43519
413	30672	43416
414	30718	43301
415	30770	43197
416	30816	43084
417	30870	42982
418	30928	42886
419	30986	42790
420	31039	42688
421	31091	42584
422	31143	42482
423	31201	42386
424	31268	42304
425	31346	42236
426	31402	42139
427	31464	42050
428	31520	41953
429	31599	41887
430	31657	41793
431	31711	41695
432	31768	41600
433	31831	41512
434	31892	41423
435	31945	41323
436	31998	41225
437	32050	41124
438	32103	41025
439	32159	40929
440	32208	40827
441	32257	40723
442	32310	40625
443	32358	40521
444	32434	40452
445	32492	40360
446	32553	40273
447	32612	40183
448	32671	40092
449	32729	40002
450	32782	39905
451	32839	39814
452	32897	39723
453	32957	39635
454	33017	39548
455	33066	39448
456	33119	39352
457	33170	39254
458	33220	39155
459	33267	39052
460	33319	38956
461	33373	38863
462	33422	38764
463	33472	38666
464	33535	38584
465	33595	38497
466	33644	38399
467	33699	38307
468	33752	38214
469	33807	38122
470	33857	38026
471	33908	37931
472	33961	37838
473	34013	37744
474	34066	37652
475	34116	37556
476	34164	37459
477	34223	37373
478	34276	37282
479	34327	37188
480	34376	37092
481	34427	36999
482	34478	36905
483	34529	36812
484	34580	36719
485	34631	36626
486	34682	36534
487	34734	36442
488	34791	36357
489	34845	36267
490	34898	36177
491	34950	36087
492	35008	36002
493	35065	35917
494	35117	35826
495	35171	35739
496	35226	35651
497	35280	35563
498	35331	35473
499	35396	35396
500	35446	35305
501	35500	35217
502	35557	35133
503	35608	35043
504	35678	34972
505	35728	34881
506	35781	34793
507	35835	34706
508	35887	34618
509	35937	34527
510	35991	34441
511	36043	34353
512	36098	34268
513	36150	34181
514	36204	34095
515	36264	34015
516	36322	33933
517	36379	33851
518	36435	33767
519	36491	33684
520	36544	33598
521	36593	33509
522	36644	33421
523	36696	33335
524	36760	33259
525	36817	33178
526	36869	33091
527	36920	33005
528	36974	32920
529	37028	32836
530	37075	32746
531	37127	32661
532	37179	32575
533	37235	32493
534	37286	32408
535	37336	32320
536	37390	32238
537	37444	32154
538	37496	32070
539	37605	32034
540	37722	32004
541	37779	31924
542	37830	31838
543	37884	31755
544	37933	31669
545	37987	31586
546	38040	31503
547	38097	31423
548	38157	31345
549	38211	31263
550	38261	31178
551	38312	31094
552	38363	31009
553	38416	30927
554	38470	30845
555	38519	30760
556	38566	30673
557	38622	30593
558	38674	30510
559	38728	30429
560	38782	30348
561	38835	30266
562	38887	30184
563	38939	30101
564	38982	30013
565	39031	29928
566	39085	29848
567	39136	29765
568	39188	29683
569	39245	29606
570	39301	29527
571	39373	29461
572	39427	29381
573	39471	29293
574	39523	29212
575	39578	29133
576	39628	29051
577	39678	28969
578	39732	28889
579	39783	28808
580	39840	28732
581	39890	28650
582	39942	28569
583	39996	28490
584	40051	28412
585	40102	28331
586	40155	28252
587	40224	28184
588	40275	28104
589	40330	28026
590	40384	27948
591	40433	27866
592	40487	27788
593	40537	27707
594	40592	27630
595	40643	27550
596	40695	27471
597	40746	27391
598	40796	27310
599	40849	27232
600	40901	27154
601	40954	27076
602	41008	26998
603	41063	26922
604	41117	26845
605	41190	26780
606	41257	26712
607	41316	26637
608	41369	26560
609	41434	26490
610	41493	26417
611	41549	26341
612	41607	26267
613	41666	26194
614	41719	26117
615	41774	26041
616	41829	25965
617	41886	25890
618	41936	25812
619	41992	25737
620	42048	25662
621	42109	25590
622	42191	25531
623	42282	25478
624	42341	25405
625	42399	25331
626	42455	25256
627	42513	25183
628	42571	25109
629	42617	25029
630	42673	24955
631	42731	24881
632	42787	24807
633	42844	24733
634	42903	24661
635	42963	24589
636	43021	24516
637	43075	24440
638	43137	24370
639	43194	24296
640	43255	24225
641	43325	24159
642	43384	24087
643	43442	24014
644	43502	23943
645	43561	23870
646	43621	23799
647	43677	23726
648	43737	23654
649	43791	23579
650	43848	23506
651	43904	23433
652	43965	23362
653	44021	23289
654	44079	23217
655	44146	23149
656	44221	23086
657	44294	23022
658	44347	22947
659	44400	22873
660	44454	22798
661	44509	22725
